dataset,fraction_label,model,mode,n,psnr_full_mean,psnr_full_std,psnr_patch_mean,psnr_patch_std,ssim_full_mean,ssim_full_std,ssim_patch_mean,ssim_patch_std,lpips_full_mean,lpips_full_std,lpips_patch_mean,lpips_patch_std
imagenet_val,75,vqgan,orthogonal,50000,10.913903364414017,1.2379879706153432,10.014206215355744,1.2551317471614967,0.1750019574016891,0.058620253348817326,0.08836878650465743,0.04053026424064671,0.6506888525390625,0.0649517816328211,0.6966071875,0.0691347960439019
imagenet_val,75,vqgan,random_uniform,50000,12.82385534232739,1.8580895869161327,12.083712158603914,1.9313817155643118,0.3077456780843809,0.13774651080396766,0.269346249137409,0.13804881035181343,0.7880865576171875,0.06810044664996494,0.8787906982421875,0.07461879667783401
imagenet_val,75,vqgan,farthest,50000,4.536027410469813,1.0732152446677699,3.6448727447763014,1.0945507811315847,0.09101987227564412,0.04666795323331848,0.046198674960503214,0.048400419751160245,0.83910095703125,0.07663062352412474,0.86088337890625,0.07595510403414765
imagenetv2,10,llamagen,closest,10000,29.412449585519852,3.3172843984395746,20.720433849207147,3.649404516521511,0.9454668277859688,0.01812694857738669,0.6337006786495447,0.1209847622673142,0.025271791172027585,0.008770640623831653,0.1098861792564392,0.04030163794907219
imagenetv2,10,llamagen,orthogonal,10000,20.853894611936717,2.0578782663472355,11.924831291508422,2.2044319387217644,0.8406513024568558,0.030245642478533116,0.1388247512543268,0.09004367908555409,0.11654544067382812,0.01791311559583549,0.5125003784179688,0.07902864076304122
imagenetv2,10,llamagen,random_uniform,10000,20.867030860416612,2.1477155602058273,11.929860054543804,2.3111754701705225,0.8429630166649819,0.03060879325315564,0.14947937893514748,0.09615222008491124,0.11490645751953125,0.018161113132380835,0.5049420532226563,0.07937105193266203
imagenetv2,10,llamagen,farthest,10000,17.504651846547382,1.9445900845102213,8.29066653819062,2.108464837948733,0.8090999486207961,0.030161969819752353,0.031006449770500644,0.047920529015893124,0.15132472534179686,0.023496091286029044,0.6251075561523437,0.09975602377594872
imagenetv2,10,vqgan,closest,10000,28.46340846065198,3.4966401939214893,20.515695583574665,3.786755042851969,0.9314653527498246,0.02255249534677185,0.6051533676937223,0.12236278988320752,0.034259110927581785,0.011721637867665384,0.13959178800582886,0.05164455577771604
imagenetv2,10,vqgan,orthogonal,10000,19.725222608588105,1.986922974290647,11.149112744583503,2.0502417143869605,0.8032553890824318,0.03833553172731691,0.11075693164538393,0.07107366265902519,0.14086204833984375,0.022733276682479632,0.53110830078125,0.08694319685798774
imagenetv2,10,vqgan,random_uniform,10000,21.371424848765436,2.3831439832492443,13.381994161455708,2.60561169822371,0.8102232324123383,0.04878589744955361,0.20992925770524884,0.1343073467277248,0.13738665008544923,0.024991343418265862,0.5963551025390625,0.10316517349309222
imagenetv2,10,vqgan,farthest,10000,12.957546627058521,1.2893146388524974,3.9366791033485917,1.3278862617716005,0.7319580840945243,0.047083676425102354,0.04788045888306003,0.0585914541417738,0.221627685546875,0.030291003997598445,0.7261990966796875,0.08918832370347946
imagenetv2,25,llamagen,closest,10000,25.62951660424849,2.8693401406227457,20.43552783324587,2.975902213271958,0.8767548770487309,0.03901515576456934,0.6279944186389447,0.11273750282400653,0.05771939811706543,0.016983431246646558,0.13569242477416993,0.0398537748012906
imagenetv2,25,llamagen,orthogonal,10000,16.742692321209873,1.693827332787446,11.430812994193944,1.755774417846468,0.6595894261807204,0.05192359988677306,0.12846642019005952,0.06952425724918092,0.26029254150390624,0.029993926784673997,0.5919685302734375,0.06770900531961314
imagenetv2,25,llamagen,random_uniform,10000,16.77214400985199,1.7563709453809053,11.454521591666273,1.8302709445921357,0.6642327146679163,0.052572117154737766,0.138559534354601,0.07393846325445402,0.257315576171875,0.030043164576599866,0.585683837890625,0.0672435584414645
imagenetv2,25,llamagen,farthest,10000,13.10040593324106,1.701398003348225,7.590564120019767,1.78749799874725,0.6033274462401866,0.047368482502560996,0.024000676127217607,0.0362261237079616,0.32365755615234376,0.04022699843359698,0.6980392333984375,0.08624774980544596
imagenetv2,25,vqgan,closest,10000,24.76140638914014,3.0259102479680213,20.100708590471612,3.087058897985566,0.8459326354503631,0.04690262244269913,0.587126850143075,0.11525462464613434,0.0806881477355957,0.022698360557968318,0.18318296966552736,0.05263580940427109
imagenetv2,25,vqgan,orthogonal,10000,15.82736737325218,1.5983797216092739,10.68252910836436,1.6185073532249514,0.6097307815879583,0.05884001975212303,0.09924867296874286,0.05395113267819788,0.2934930419921875,0.035667124527438324,0.607559228515625,0.07463557396597927
imagenetv2,25,vqgan,random_uniform,10000,17.44773487181332,2.0155762022739543,12.823102119273644,2.1621945026815954,0.6169008161783218,0.09326557112763888,0.23257893278002734,0.1325262535834412,0.32257628173828123,0.04026279948233044,0.748613720703125,0.0820788869543548
imagenetv2,25,vqgan,farthest,10000,9.024483043267548,1.1013221448702306,3.709993480590499,1.1266627520724581,0.48163348631560804,0.06970970097719582,0.04721401742183117,0.051696534750482824,0.4390927734375,0.04671218293871086,0.7857578125,0.07822174692045085
imagenetv2,50,llamagen,closest,10000,23.24974497098042,2.6836026444443513,20.544367960077405,2.7175427242702,0.7893341165602207,0.06809244637349944,0.6361506023585797,0.11216012838815219,0.09763191452026367,0.026836174639757307,0.14562207946777345,0.03965341026997381
imagenetv2,50,llamagen,orthogonal,10000,13.984985014736871,1.5355570957469085,11.218167758067263,1.5732811585276798,0.43727791140824557,0.06994969590061692,0.12882875977918734,0.06282241267770519,0.439646337890625,0.04187807244715563,0.6317772216796875,0.06095729561323355
imagenetv2,50,llamagen,random_uniform,10000,13.993704915255305,1.577025611771607,11.221639676420024,1.6193056397524122,0.444154841683805,0.07099956760266092,0.13817951718969265,0.06642944071906477,0.435770654296875,0.04194351483339989,0.6267416748046875,0.06095525620700267
imagenetv2,50,llamagen,farthest,10000,10.028542061722153,1.564411646393727,7.114577148900796,1.6210264164228445,0.3531698149144649,0.054723111098524846,0.020659390043295908,0.029756940061064698,0.5320445068359375,0.056347834875016226,0.740056591796875,0.07996457889199551
imagenetv2,50,vqgan,closest,10000,22.434081410085064,2.803106700619996,20.09934600902748,2.7963303657676892,0.7407250593483448,0.07833647749199642,0.5875884236633777,0.11563935713583993,0.1406825714111328,0.03647343981399619,0.2069640319824219,0.0539188890185436
