dataset,fraction_label,model,mode,n,inside_change_mean,inside_change_std,outside_change_mean,outside_change_std,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,outside_p99_mean,outside_p99_std,outside_p999_mean,outside_p999_std
imagenet_val,10,llamagen,closest,50000,0.06672753542329259,0.025508243583945173,0.00808174124100991,0.003075338626379711,1.6750450986897691,345.0057539731015,0.12246926560629065,0.07983371729999134,0.03309976394746425,0.1980702221821477,0.07744882458114641
imagenet_val,10,llamagen,orthogonal,50000,0.20967424916296618,0.05597884206894122,0.023210142714276613,0.00650830547679581,0.11519853756091415,0.03415406213253823,0.11097221774842064,0.19780471858756632,0.05723672877295389,0.39368297442835615,0.10417870197677362
imagenet_val,10,llamagen,random_uniform,50000,0.2078086040779681,0.05763345861364797,0.022965613379639663,0.006544768141162997,0.11536948533152835,0.03477440855226153,0.1110448477820831,0.19632852121548,0.05781925450272522,0.3948408197555782,0.10671213739969168
imagenet_val,10,llamagen,farthest,50000,0.32883287433363073,0.0919511851422307,0.029781699993140846,0.007821637127934355,0.09518008626204172,0.02945264337234651,0.0911678061270012,0.2563174675409684,0.06733046756810963,0.4940972812302869,0.1158994961008202
imagenet_val,10,vqgan,closest,50000,0.06963779308390182,0.028181367677503903,0.011460499268210547,0.004961130561018596,0.18350747525370897,1.6611481064135474,0.16554994847687346,0.1100998626264288,0.050366216528012694,0.26198917472752054,0.1104636451711246
imagenet_val,10,vqgan,orthogonal,50000,0.22677038182108727,0.05569104671067021,0.029047499058788676,0.009710970925905558,0.1316948290830606,0.0428523743013224,0.1260750737579024,0.25790508454323213,0.08269497582877024,0.48483140431165606,0.12831901667016754
imagenet_val,10,vqgan,random_uniform,50000,0.18661669600002212,0.05754260287360904,0.02973007569941874,0.0105470846992513,0.1693192622716733,0.06543987401199317,0.15852519375717744,0.23513200495427863,0.07897379078478152,0.4256670095378437,0.12462083270084909
imagenet_val,10,vqgan,farthest,50000,0.5918778068689635,0.10394125547831141,0.053202381138689324,0.013871384266824417,0.09176499889298191,0.026577464906495357,0.0883441242923319,0.5489018016754245,0.144295553848582,0.808268506449953,0.11422485126977434
imagenet_val,25,llamagen,closest,50000,0.06728211642591587,0.022696435371049536,0.012931830052393161,0.00494345926336033,0.1990814313643086,0.09081035493070795,0.19275218618530246,0.10495698972455202,0.042050208804171665,0.2333843267012181,0.08512718917172199
imagenet_val,25,llamagen,orthogonal,50000,0.22190314925671978,0.04881417853007554,0.03892943126598197,0.010359224994601918,0.17950192045388325,0.04715538814840373,0.17556414962028066,0.25133360840761326,0.06430292699800635,0.44135028279898864,0.10285969246407473
imagenet_val,25,llamagen,random_uniform,50000,0.219676117094025,0.04963425707873619,0.03846901235947219,0.010306578883346995,0.17953366843586566,0.04789360537000794,0.17521820614104033,0.2497168337303098,0.06476135471404602,0.44302156429686496,0.10504876768293862
imagenet_val,25,llamagen,farthest,50000,0.35567813825660094,0.08594686544438089,0.049631156495253036,0.012754399386839619,0.14455533442094762,0.041043726742962056,0.14084084992448054,0.3276609587464231,0.07684676079737407,0.5538525173003499,0.1130076389962504
imagenet_val,25,vqgan,closest,50000,0.07209910623800435,0.025438367010096552,0.019026469416668173,0.00812556201581183,0.26901846110047867,0.09869445019269063,0.26338009140276697,0.14764742537102613,0.06454713111240917,0.31077482341827184,0.12033913677391601
