model,dataset,dataset_label,code_id,imagenet_code_total,ood_code_total,l1_spatial_distance,imagenet_effective_support,ood_effective_support,effective_support_ratio,imagenet_zero_fraction,ood_zero_fraction,imagenet_max_position_mass,ood_max_position_mass,zero_fraction_delta,max_position_mass_delta
LlamaGen,objectnet,ObjectNet,2725,858,887,0.730999177447881,213.92166178535825,199.0353075862465,0.9304121234153079,0.0390625,0.09765625,0.013986013986013986,0.011273957158962795,0.05859375,-0.0027120568270511906
LlamaGen,objectnet,ObjectNet,2726,868,1201,0.6891875817770905,212.8588643584367,198.95146285011862,0.9346637428033104,0.04296875,0.0234375,0.010368663594470046,0.025811823480432972,-0.01953125,0.015443159885962926
LlamaGen,objectnet,ObjectNet,2727,693,444,0.8167973167973169,199.0123053660706,174.77548640566394,0.8782144706287154,0.08203125,0.2109375,0.012987012987012988,0.018018018018018018,0.12890625,0.00503100503100503
LlamaGen,objectnet,ObjectNet,2728,1021,912,0.8794847672560442,206.07995079684588,172.28814833697223,0.8360257641308072,0.0546875,0.16796875,0.01762977473065622,0.01864035087719298,0.11328125,0.001010576146536761
LlamaGen,objectnet,ObjectNet,2729,735,644,0.7199645075421472,207.87188394606372,185.48843814607133,0.892320955700771,0.0703125,0.13671875,0.012244897959183673,0.023291925465838508,0.06640625,0.011047027506654835
LlamaGen,objectnet,ObjectNet,2730,821,528,0.6863857823053925,215.79184276624417,181.9706177828376,0.8432692146753512,0.0390625,0.171875,0.012180267965895249,0.013257575757575758,0.1328125,0.001077307791680509
LlamaGen,objectnet,ObjectNet,2731,681,1147,0.7091934907765517,213.5087833138332,183.5846298803248,0.8598457966503263,0.05859375,0.05859375,0.011747430249632892,0.03138622493461203,0.0,0.019638794684979137
LlamaGen,objectnet,ObjectNet,2732,741,657,0.7379020082697083,213.50072860849096,187.6647854994581,0.8789889698390221,0.05078125,0.15625,0.012145748987854251,0.0136986301369863,0.10546875,0.0015528811491320495
LlamaGen,objectnet,ObjectNet,2733,670,455,0.827423322945711,200.17886853690882,166.22575979240952,0.830386149184178,0.09375,0.2265625,0.014925373134328358,0.02197802197802198,0.1328125,0.007052648843693622
LlamaGen,objectnet,ObjectNet,2734,793,1299,0.7053092542813513,216.83764841373667,194.38796121061614,0.8964677611690132,0.046875,0.11328125,0.01008827238335435,0.022324865280985373,0.06640625,0.012236592897631023
LlamaGen,objectnet,ObjectNet,2735,798,975,0.6780721033352612,214.4965141828174,192.28468954377496,0.896446687147041,0.03515625,0.09375,0.011278195488721804,0.017435897435897435,0.05859375,0.006157701947175631
LlamaGen,objectnet,ObjectNet,2736,970,851,0.8255611954401735,200.0082074443056,189.61417787417727,0.9480319847723115,0.0390625,0.13671875,0.01958762886597938,0.01527614571092832,0.09765625,-0.004311483155051062
LlamaGen,objectnet,ObjectNet,2737,761,1223,0.7436830009143625,210.6147055387692,194.45977090932288,0.9232962646738238,0.05859375,0.125,0.011826544021024968,0.011447260834014717,0.06640625,-0.0003792831870102504
LlamaGen,objectnet,ObjectNet,2738,860,1196,0.5935754841720464,214.74498728656326,206.26130555998097,0.9604941571219944,0.046875,0.09375,0.012790697674418604,0.010033444816053512,0.046875,-0.0027572528583650925
LlamaGen,objectnet,ObjectNet,2739,807,1111,0.7104465093349484,205.87029977203701,205.89640554928062,1.0001268069132483,0.078125,0.05859375,0.0161090458488228,0.012601260126012601,-0.01953125,-0.0035077857228101982
LlamaGen,objectnet,ObjectNet,2740,664,486,0.9585750409043583,209.78516882376803,146.31057921526357,0.6974305192097403,0.0625,0.27734375,0.012048192771084338,0.0205761316872428,0.21484375,0.00852793891615846
LlamaGen,objectnet,ObjectNet,2741,784,627,0.7542801809719102,202.82185786347992,199.47818558387678,0.9835142409460929,0.06640625,0.08203125,0.017857142857142856,0.01594896331738437,0.015625,-0.0019081795397584873
LlamaGen,objectnet,ObjectNet,2742,944,1038,0.7438318474249698,214.00961213666358,193.57182010915605,0.9045005884387275,0.03515625,0.1328125,0.012711864406779662,0.014450867052023121,0.09765625,0.0017390026452434593
LlamaGen,objectnet,ObjectNet,2743,504,452,0.7646439106616096,196.1508640268983,172.57776108418852,0.8798215696899649,0.125,0.2265625,0.013888888888888888,0.01327433628318584,0.1015625,-0.0006145526057030476
LlamaGen,objectnet,ObjectNet,2744,629,349,0.8616214394067083,199.51741518110234,162.8869405650953,0.8164046252165131,0.12109375,0.26953125,0.011128775834658187,0.017191977077363897,0.1484375,0.00606320124270571
LlamaGen,objectnet,ObjectNet,2745,810,592,0.640623957290624,220.72655328226077,199.5576051091734,0.9040942385123147,0.03125,0.09765625,0.009876543209876543,0.015202702702702704,0.06640625,0.0053261594928261605
LlamaGen,objectnet,ObjectNet,2746,694,646,0.8344590073250595,209.40531741585764,174.8567187707975,0.8350156573318999,0.06640625,0.140625,0.01440922190201729,0.02786377708978328,0.07421875,0.01345455518776599
LlamaGen,objectnet,ObjectNet,2747,817,908,0.6221995157959441,212.18497238250185,208.65599411516413,0.9833683873663961,0.0546875,0.04296875,0.011015911872705019,0.012114537444933921,-0.01171875,0.001098625572228902
LlamaGen,objectnet,ObjectNet,2748,837,738,0.7068799720255268,212.49305866542335,201.35771244604192,0.9475966589717438,0.05078125,0.078125,0.011947431302270013,0.012195121951219513,0.02734375,0.0002476906489495001
LlamaGen,objectnet,ObjectNet,2749,690,633,0.6723263960436843,208.4028474301179,188.74559540772833,0.905676662940121,0.078125,0.13671875,0.011594202898550725,0.01579778830963665,0.05859375,0.004203585411085925
LlamaGen,objectnet,ObjectNet,2750,717,1139,1.0111441316675298,209.83438546488463,111.77651972282804,0.5326892419237629,0.0546875,0.09375,0.011157601115760111,0.07550482879719052,0.0390625,0.0643472276814304
LlamaGen,objectnet,ObjectNet,2751,634,876,0.6936173890497386,201.89902141589448,205.0041637437676,1.0153796799315673,0.10546875,0.078125,0.011041009463722398,0.012557077625570776,-0.02734375,0.0015160681618483773
LlamaGen,objectnet,ObjectNet,2752,730,507,0.7213855340304234,205.14313139676577,181.85009901993106,0.8864547293480481,0.078125,0.1640625,0.0136986301369863,0.015779092702169626,0.0859375,0.0020804625651833254
LlamaGen,objectnet,ObjectNet,2753,717,959,0.7794235918109724,208.6659735280526,194.80848903620364,0.9335901093141763,0.05859375,0.10546875,0.015341701534170154,0.014598540145985401,0.046875,-0.0007431613881847526
LlamaGen,objectnet,ObjectNet,2754,735,484,0.7761904761904762,210.5424859720074,181.18055777253235,0.8605415526281054,0.05859375,0.17578125,0.010884353741496598,0.01652892561983471,0.1171875,0.005644571878338113
LlamaGen,objectnet,ObjectNet,2755,667,715,0.8681309694802946,206.60720086146065,170.6686752762332,0.8260538575839578,0.0703125,0.09765625,0.013493253373313344,0.02937062937062937,0.02734375,0.015877375997316028
LlamaGen,objectnet,ObjectNet,2756,700,537,0.7904229848363926,205.88470013684122,177.73900740740658,0.8632939081401988,0.08203125,0.1796875,0.014285714285714285,0.01675977653631285,0.09765625,0.0024740622505985636
LlamaGen,objectnet,ObjectNet,2757,725,958,0.7698596213375566,204.47461162340184,189.87421324264528,0.9285955441370524,0.078125,0.12890625,0.012413793103448275,0.014613778705636743,0.05078125,0.0021999856021884673
LlamaGen,objectnet,ObjectNet,2758,1010,1191,0.7051533364923395,216.20470680408872,195.81143815635778,0.9056761115464057,0.03515625,0.1171875,0.01287128712871287,0.02518891687657431,0.08203125,0.012317629747861438
LlamaGen,objectnet,ObjectNet,2759,1226,1208,0.7297462268941154,215.8324810792721,201.58528703202,0.9339895738768841,0.015625,0.11328125,0.012234910277324634,0.012417218543046357,0.09765625,0.00018230826572172322
LlamaGen,objectnet,ObjectNet,2760,902,1213,0.6930828807651038,214.10409263074848,202.8520373532133,0.9474458655167284,0.05078125,0.015625,0.009977827050997782,0.01731244847485573,-0.03515625,0.0073346214238579465
LlamaGen,objectnet,ObjectNet,2761,722,432,0.83264081255771,209.04757114618937,164.6782307571594,0.7877548151085574,0.05859375,0.2578125,0.013850415512465374,0.013888888888888888,0.19921875,3.847337642351456e-05
LlamaGen,objectnet,ObjectNet,2762,639,538,0.7978253660750126,208.96514470768426,172.35017309770714,0.8247795264554918,0.0625,0.203125,0.014084507042253521,0.016728624535315983,0.140625,0.002644117493062462
LlamaGen,objectnet,ObjectNet,2763,704,810,0.8661475869809201,210.3287633601843,158.63503751796208,0.7542241725935619,0.06640625,0.125,0.009943181818181818,0.028395061728395062,0.05859375,0.018451879910213242
LlamaGen,objectnet,ObjectNet,2764,855,1124,0.7059977940105304,219.06855561772417,194.81548551291837,0.8892900442219214,0.03125,0.12109375,0.011695906432748537,0.012455516014234875,0.08984375,0.0007596095814863379
LlamaGen,objectnet,ObjectNet,2765,757,516,0.8120027034499707,202.95755861077907,167.98978066706988,0.8277089151886751,0.08984375,0.20703125,0.01453104359313078,0.01744186046511628,0.1171875,0.0029108168719854995
LlamaGen,objectnet,ObjectNet,2766,662,556,0.8113086570018909,203.24313610522063,186.05963079608767,0.915453453246082,0.07421875,0.16015625,0.01812688821752266,0.014388489208633094,0.0859375,-0.003738399008889566
LlamaGen,objectnet,ObjectNet,2767,885,486,0.7677617353700216,218.9250480189859,180.27360889205863,0.8234489864148606,0.03125,0.18359375,0.014689265536723164,0.01440329218106996,0.15234375,-0.00028597335565320493
LlamaGen,objectnet,ObjectNet,2768,881,1131,0.7309092332380915,207.98343824978568,195.90173392056388,0.941910257706617,0.046875,0.11328125,0.01362088535754824,0.015030946065428824,0.06640625,0.0014100607078805834
LlamaGen,objectnet,ObjectNet,2769,807,593,0.7147534954477162,211.7053645737929,198.5929336973811,0.9380628313183756,0.04296875,0.1015625,0.01486988847583643,0.011804384485666104,0.05859375,-0.0030655039901703266
LlamaGen,objectnet,ObjectNet,2770,793,528,0.7472438763422371,214.34182949883234,187.25365906589528,0.8736216328083333,0.04296875,0.15625,0.012610340479192938,0.013257575757575758,0.11328125,0.0006472352783828197
LlamaGen,objectnet,ObjectNet,2771,718,623,0.8221786038442793,202.8938623192203,188.11835380123088,0.9271761681250734,0.08203125,0.13671875,0.012534818941504178,0.02247191011235955,0.0546875,0.009937091170855372
